,RBP?,cluster,phase,meanLogFC,pvalue,p_adjust,Product Description,Input ID,Paralog count,Chromosome,Genomic Location (Gene),Genomic Location (Transcript)
C4B63_10g458,No,middle,22.6400701654746,0.640436148989699,0,0,conserved hypothetical protein,C4B63_10g458,1,Not Assigned,"PRFA01000010:191,124..192,440(-)",PRFA01000010:191124..192440(-)
C4B63_10g459,No,middle,25.320425897203,0.814353650859004,0,0,conserved hypothetical protein,C4B63_10g459,0,Not Assigned,"PRFA01000010:189,851..190,369(-)",PRFA01000010:189851..190369(-)
C4B63_10g488,No,middle,19.5191417714888,0.302886826786011,0,0,UBX domain-containing protein,C4B63_10g488,0,Not Assigned,"PRFA01000010:134,228..135,472(-)",PRFA01000010:134228..135472(-)
C4B63_10g490,No,early,13.684460429672,0.781662919027977,0,0,Hsc70-interacting protein (Hip),C4B63_10g490,0,Not Assigned,"PRFA01000010:131,380..132,528(-)",PRFA01000010:131380..132528(-)
C4B63_10g492,No,middle,21.6114097236577,0.542748807611899,0,0,conserved hypothetical protein,C4B63_10g492,0,Not Assigned,"PRFA01000010:127,159..127,953(-)",PRFA01000010:127159..127953(-)
C4B63_10g497,No,middle,23.3648477270732,0.456781816538095,0,0,protein transport protein Sec24C,C4B63_10g497,0,Not Assigned,"PRFA01000010:116,869..119,583(-)",PRFA01000010:116869..119583(-)
C4B63_10g499,No,middle,18.3483529865252,0.323835084516307,0,0,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily-related,C4B63_10g499,0,Not Assigned,"PRFA01000010:110,486..114,856(-)",PRFA01000010:110486..114856(-)
C4B63_10g522,No,early,14.146063339073,0.604709784327429,0,0,FACT complex subunit SPT16,C4B63_10g522,0,Not Assigned,"PRFA01000010:67,702..70,761(-)",PRFA01000010:67702..70761(-)
C4B63_112g23,No,middle,17.6243532447815,0.504771077978127,0,0,pantothenate kinase subunit,C4B63_112g23,0,Not Assigned,"PRFA01000112:48,912..53,354(+)",PRFA01000112:48912..53354(+)
C4B63_113g30,No,early,12.661056180966,0.821136872597794,0,0,heat shock protein 85,C4B63_113g30,16,Not Assigned,"PRFA01000113:84,630..86,744(-)",PRFA01000113:84630..86744(-)
C4B63_113g42,No,middle,17.895414664614,1.16382082409025,0,0,thiol-dependent reductase 1,C4B63_113g42,1,Not Assigned,"PRFA01000113:60,586..61,467(-)",PRFA01000113:60586..61467(-)
C4B63_113g65,No,middle,21.7076212090561,0.642611934331491,0,0,protein tyrosine phosphatase,C4B63_113g65,0,Not Assigned,"PRFA01000113:12,552..13,256(-)",PRFA01000113:12552..13256(-)
C4B63_114g25,No,middle,23.1468222842896,0.346186108937984,0,0,conserved hypothetical protein,C4B63_114g25,0,Not Assigned,"PRFA01000114:54,302..55,990(+)",PRFA01000114:54302..55990(+)
C4B63_114g29,No,middle,22.696377615117,0.443069507685854,0,0,translocon-associated protein (TRAP) alpha subunit,C4B63_114g29,0,Not Assigned,"PRFA01000114:63,564..64,382(+)",PRFA01000114:63564..64382(+)
C4B63_114g35,No,late,34.6867934647085,0.979970081539347,0,0,conserved hypothetical protein,C4B63_114g35,1,Not Assigned,"PRFA01000114:77,664..78,731(+)",PRFA01000114:77664..78731(+)
C4B63_118g18,No,early,12.7083458473889,0.354442817258957,0,0,retrotransposon hot spot protein (RHS),C4B63_118g18,2,Not Assigned,"PRFA01000118:50,693..51,166(+)",PRFA01000118:50693..51166(+)
C4B63_11g16,No,middle,23.6676996249525,0.578070055557443,0,0,conserved hypothetical protein,C4B63_11g16,0,Not Assigned,"PRFA01000011:73,613..74,083(+)",PRFA01000011:73613..74083(+)
C4B63_11g29,No,early,13.8855386512963,0.956485803355517,0,0,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase",C4B63_11g29,0,Not Assigned,"PRFA01000011:98,716..99,552(+)",PRFA01000011:98716..99552(+)
C4B63_11g40,No,middle,19.6544052970145,0.790683711725385,0,0,urocanate hydratase,C4B63_11g40,0,Not Assigned,"PRFA01000011:123,897..125,924(+)",PRFA01000011:123897..125924(+)
C4B63_11g45,No,early,13.8975887537679,0.775731353031699,0,0,Metallocarboxypeptidase 1,C4B63_11g45,2,Not Assigned,"PRFA01000011:132,781..134,292(+)",PRFA01000011:132781..134292(+)
C4B63_11g67,No,middle,22.236117824783,0.931222042984545,0,0,3-oxo-5-alpha-steroid 4-dehydrogenase,C4B63_11g67,0,Not Assigned,"PRFA01000011:172,847..173,917(+)",PRFA01000011:172847..173917(+)
C4B63_11g74,No,middle,20.7536751908361,0.416481150910382,0,0,pyruvate dehydrogenase E1 beta subunit,C4B63_11g74,0,Not Assigned,"PRFA01000011:187,150..187,974(+)",PRFA01000011:187150..187974(+)
C4B63_11g8,No,middle,16.4510858493607,0.692933864412147,0,0,succinyl-CoA synthetase alpha subunit,C4B63_11g8,0,Not Assigned,"PRFA01000011:59,742..60,653(+)",PRFA01000011:59742..60653(+)
C4B63_11g83,No,middle,17.9626962586944,0.424830518550126,0,0,Eukaryotic translation initiation factor 3 subunit F,C4B63_11g83,0,Not Assigned,"PRFA01000011:206,617..207,654(+)",PRFA01000011:206617..207654(+)
C4B63_11g96,No,middle,27.392413811565,0.754595628279599,0,0,protein kinase,C4B63_11g96,0,Not Assigned,"PRFA01000011:234,253..236,133(+)",PRFA01000011:234253..236133(+)
C4B63_120g195c,No,middle,24.9444411618061,1.00288681801226,0,0,conserved hypothetical protein,C4B63_120g195c,2,Not Assigned,"PRFA01000120:80,906..81,202(-)",PRFA01000120:80906..81202(-)
C4B63_123g23,No,early,15.3026867141495,0.609282976033891,0,0,cytochrome c oxidase subunit V,C4B63_123g23,1,Not Assigned,"PRFA01000123:49,927..50,517(+)",PRFA01000123:49927..50517(+)
C4B63_128g42,No,middle,23.7269386731851,0.725441491094038,0,0,paraflagellar rod component par4,C4B63_128g42,0,Not Assigned,"PRFA01000128:55,688..57,430(-)",PRFA01000128:55688..57430(-)
C4B63_128g47,No,late,37.0236778999202,1.79309610630066,0,0,protein kinase,C4B63_128g47,0,Not Assigned,"PRFA01000128:44,452..45,693(-)",PRFA01000128:44452..45693(-)
C4B63_128g49,No,middle,17.0094062043124,0.363184461134913,0,0,nucleolar RNA helicase II,C4B63_128g49,0,Not Assigned,"PRFA01000128:41,159..43,180(-)",PRFA01000128:41159..43180(-)
C4B63_12g1413c,No,middle,19.9409048069198,0.938617194323351,0,0,conserved hypothetical protein,C4B63_12g1413c,2,Not Assigned,"PRFA01000012:366,796..367,092(-)",PRFA01000012:366796..367092(-)
C4B63_12g17,No,middle,22.3147436587231,0.719528929063849,0,0,dynein heavy chain,C4B63_12g17,33,Not Assigned,"PRFA01000012:65,179..79,086(+)",PRFA01000012:65179..79086(+)
C4B63_12g175,No,middle,20.3364948325813,2.09209278531703,0,0,Protein Associated with Differentiation,C4B63_12g175,2,Not Assigned,"PRFA01000012:534,380..536,233(-)",PRFA01000012:534380..536233(-)
C4B63_12g187,No,early,12.1855275964277,0.64515153588643,0,0,conserved hypothetical protein,C4B63_12g187,1,Not Assigned,"PRFA01000012:518,995..519,549(-)",PRFA01000012:518995..519549(-)
C4B63_12g195,No,late,31.9669178398173,2.02745844975373,0,0,conserved hypothetical protein,C4B63_12g195,0,Not Assigned,"PRFA01000012:505,292..506,728(-)",PRFA01000012:505292..506728(-)
C4B63_12g196,No,late,31.6691981154725,0.312674633560166,0,0,conserved hypothetical protein,C4B63_12g196,0,Not Assigned,"PRFA01000012:498,781..502,725(-)",PRFA01000012:498781..502725(-)
C4B63_12g201,No,middle,21.1195470670915,0.336937854195303,0,0,conserved hypothetical protein,C4B63_12g201,1,Not Assigned,"PRFA01000012:487,173..490,373(-)",PRFA01000012:487173..490373(-)
C4B63_12g2035c,Yes,middle,24.1036681759935,0.660834847966784,0,0,zinc-finger protein 2,C4B63_12g2035c,0,Not Assigned,"PRFA01000012:25,231..25,647(-)",PRFA01000012:25231..25647(-)
C4B63_12g216,No,early,14.2090979563512,0.662265232932111,0,0,40S ribosomal protein S5,C4B63_12g216,1,Not Assigned,"PRFA01000012:460,561..461,133(-)",PRFA01000012:460561..461133(-)
C4B63_12g217,No,early,14.5842373391452,0.462213454846583,0,0,40S ribosomal protein S5,C4B63_12g217,1,Not Assigned,"PRFA01000012:459,775..460,347(-)",PRFA01000012:459775..460347(-)
C4B63_12g225,No,middle,24.8111674326842,0.382295324226133,0,0,conserved hypothetical protein,C4B63_12g225,0,Not Assigned,"PRFA01000012:441,132..441,623(-)",PRFA01000012:441132..441623(-)
C4B63_12g228,No,middle,28.1647364487352,2.33334364314766,0,0,protein transport protein SEC61 subunit alpha,C4B63_12g228,0,Not Assigned,"PRFA01000012:435,581..436,723(-)",PRFA01000012:435581..436723(-)
C4B63_12g232,No,middle,20.2344668046103,0.47941005965022,0,0,Lanosterol 14-alpha demethylase,C4B63_12g232,0,Not Assigned,"PRFA01000012:428,661..430,106(-)",PRFA01000012:428661..430106(-)
C4B63_12g240,No,early,12.423456494596,0.78676674796665,0,0,40S ribosomal protein S15A,C4B63_12g240,2,Not Assigned,"PRFA01000012:412,359..412,751(-)",PRFA01000012:412359..412751(-)
C4B63_12g242,No,late,32.7833011595311,2.62126011001979,0,0,SKP1-like protein,C4B63_12g242,0,Not Assigned,"PRFA01000012:409,183..409,731(-)",PRFA01000012:409183..409731(-)
C4B63_12g26,No,middle,27.140058408853,1.08611267787398,0,0,conserved hypothetical protein,C4B63_12g26,0,Not Assigned,"PRFA01000012:93,646..95,478(+)",PRFA01000012:93646..95478(+)
C4B63_12g295,No,middle,23.1580381429408,0.636175076166822,0,0,GTP-binding nuclear protein rtb2,C4B63_12g295,0,Not Assigned,"PRFA01000012:275,872..276,525(-)",PRFA01000012:275872..276525(-)
C4B63_12g330,No,middle,21.1723582823259,0.708765924974604,0,0,"ATP synthase subunit beta, mitochondrial",C4B63_12g330,0,Not Assigned,"PRFA01000012:204,330..205,886(-)",PRFA01000012:204330..205886(-)
C4B63_12g334,No,middle,22.5472850899128,0.272782712920388,0,0,cytochrome oxidase subunit VII,C4B63_12g334,0,Not Assigned,"PRFA01000012:198,025..198,522(-)",PRFA01000012:198025..198522(-)
C4B63_12g346,No,middle,21.2282080635875,0.594519241734354,0,0,conserved hypothetical protein,C4B63_12g346,1,Not Assigned,"PRFA01000012:171,166..172,083(-)",PRFA01000012:171166..172083(-)
C4B63_12g385,No,middle,18.5221981370702,0.595031635723057,0,0,"Acyl carrier protein, mitochondrial",C4B63_12g385,0,Not Assigned,"PRFA01000012:51,715..52,161(-)",PRFA01000012:51715..52161(-)
C4B63_12g396,No,middle,24.2203664847103,0.671447519440388,0,0,proteasome alpha 7 subunit,C4B63_12g396,0,Not Assigned,"PRFA01000012:35,815..36,531(-)",PRFA01000012:35815..36531(-)
C4B63_12g403,No,early,14.193673338791,0.330119444599706,0,0,RING-variant domain containing protein,C4B63_12g403,0,Not Assigned,"PRFA01000012:21,131..23,113(-)",PRFA01000012:21131..23113(-)
C4B63_12g405,No,middle,20.5778627758091,0.460881618754035,0,0,cytochrome P450,C4B63_12g405,0,Not Assigned,"PRFA01000012:15,402..17,123(-)",PRFA01000012:15402..17123(-)
C4B63_133g44,No,early,12.327263194366,0.828269219199354,0,0,60S ribosomal protein L14,C4B63_133g44,1,Not Assigned,"PRFA01000133:35,106..35,648(-)",PRFA01000133:35106..35648(-)
C4B63_133g46,No,middle,23.061666454104,0.853520864530079,0,0,cytosolic malate dehydrogenase,C4B63_133g46,0,Not Assigned,"PRFA01000133:33,073..34,071(-)",PRFA01000133:33073..34071(-)
C4B63_133g58,No,early,11.43112883432,0.884296980781865,0,0,heat shock protein 70 (hsp70),C4B63_133g58,33,Not Assigned,"PRFA01000133:7,881..9,941(-)",PRFA01000133:7881..9941(-)
C4B63_138g113c,No,middle,19.0138997001815,0.305719697010998,0,0,calmodulin,C4B63_138g113c,7,Not Assigned,"PRFA01000138:54,472..54,921(+)",PRFA01000138:54472..54921(+)
C4B63_138g21,No,early,14.0553935681209,0.436643841012396,0,0,elongation factor 1-gamma (EF-1-gamma),C4B63_138g21,10,Not Assigned,"PRFA01000138:41,556..42,791(+)",PRFA01000138:41556..42791(+)
C4B63_138g27,No,middle,23.2818335643386,0.776130819159372,0,0,calmodulin,C4B63_138g27,7,Not Assigned,"PRFA01000138:57,389..57,838(+)",PRFA01000138:57389..57838(+)
C4B63_13g117,No,middle,19.3310374101525,0.488228371082959,0,0,conserved hypothetical protein,C4B63_13g117,0,Not Assigned,"PRFA01000013:458,652..459,326(+)",PRFA01000013:458652..459326(+)
C4B63_13g1488c,No,middle,18.0783232345712,0.306762883664189,0,0,ribosomal protein L24,C4B63_13g1488c,1,Not Assigned,"PRFA01000013:312,908..313,285(-)",PRFA01000013:312908..313285(-)
C4B63_13g1491c,No,early,14.8867782298547,0.372674551973307,0,0,ribosomal protein L24,C4B63_13g1491c,1,Not Assigned,"PRFA01000013:310,391..310,768(-)",PRFA01000013:310391..310768(-)
C4B63_13g171,No,middle,19.3315880634916,0.454122985483411,0,0,N-acetylglucosamine-6-phosphate deacetylase-like protein,C4B63_13g171,0,Not Assigned,"PRFA01000013:556,505..557,797(+)",PRFA01000013:556505..557797(+)
C4B63_13g189,No,middle,21.1124691103763,0.253094589356685,0,0,ubiquitin-like protein,C4B63_13g189,0,Not Assigned,"PRFA01000013:442,977..443,873(-)",PRFA01000013:442977..443873(-)
C4B63_13g192,No,early,15.4719131195309,0.603207193508039,0,0,"Elongation factor G1, mitochondrial",C4B63_13g192,0,Not Assigned,"PRFA01000013:437,884..440,124(-)",PRFA01000013:437884..440124(-)
C4B63_13g200,No,late,30.5048384935365,1.28463117876105,0,0,Enriched in surface-labeled proteome protein 18,C4B63_13g200,0,Not Assigned,"PRFA01000013:426,472..427,014(-)",PRFA01000013:426472..427014(-)
C4B63_13g207,No,late,35.593385829759,1.31584257155452,0,0,Mitogen-activated protein kinase 6,C4B63_13g207,0,Not Assigned,"PRFA01000013:417,864..419,225(-)",PRFA01000013:417864..419225(-)
C4B63_13g211,No,late,32.3473630854577,0.812687541323962,0,0,XPC-binding domain containing protein,C4B63_13g211,0,Not Assigned,"PRFA01000013:405,912..409,157(-)",PRFA01000013:405912..409157(-)
C4B63_13g222,No,late,33.2566621922956,1.04888510857624,0,0,cAMP binding protein,C4B63_13g222,1,Not Assigned,"PRFA01000013:382,558..383,670(-)",PRFA01000013:382558..383670(-)
C4B63_13g231,No,late,36.798986132594,1.56311995539136,0,0,serine/threonine protein kinase,C4B63_13g231,0,Not Assigned,"PRFA01000013:361,274..363,502(-)",PRFA01000013:361274..363502(-)
C4B63_13g236,No,early,12.9136553601649,0.41329666875973,0,0,40S ribosomal protein S18,C4B63_13g236,2,Not Assigned,"PRFA01000013:354,493..354,954(-)",PRFA01000013:354493..354954(-)
C4B63_13g238,No,middle,25.5002258724902,0.802748197543443,0,0,dynein heavy chain,C4B63_13g238,33,Not Assigned,"PRFA01000013:341,678..354,163(-)",PRFA01000013:341678..354163(-)
C4B63_13g241,No,early,15.301750355324,0.403997320092694,0,0,40S ribosomal protein S10,C4B63_13g241,1,Not Assigned,"PRFA01000013:336,441..336,926(-)",PRFA01000013:336441..336926(-)
C4B63_13g242,No,early,14.1805412063765,0.394516537444468,0,0,40S ribosomal protein S10,C4B63_13g242,1,Not Assigned,"PRFA01000013:335,741..336,226(-)",PRFA01000013:335741..336226(-)
C4B63_13g260,No,middle,18.0952831815329,0.159934473543694,0,0,conserved hypothetical protein,C4B63_13g260,0,Not Assigned,"PRFA01000013:300,656..302,200(-)",PRFA01000013:300656..302200(-)
C4B63_13g269,No,early,12.6949200431923,0.629514683552126,0,0,40S ribosomal protein S9,C4B63_13g269,1,Not Assigned,"PRFA01000013:286,949..287,521(-)",PRFA01000013:286949..287521(-)
C4B63_13g270,No,middle,20.3709055075453,0.386011719363235,0,0,"fructose-bisphosphate aldolase, glycosomal",C4B63_13g270,1,Not Assigned,"PRFA01000013:285,557..286,675(-)",PRFA01000013:285557..286675(-)
C4B63_13g318,Yes,middle,26.8784119651875,0.203864067010013,0,0,RNA-binding Domain in PseudoUridine synthase and Archaeosine transglycosylase,C4B63_13g318,0,Not Assigned,"PRFA01000013:185,653..186,201(-)",PRFA01000013:185653..186201(-)
C4B63_13g34,No,early,14.3999351949887,0.973412464555178,0,0,21 kDa cyclophilin,C4B63_13g34,3,Not Assigned,"PRFA01000013:100,972..101,562(+)",PRFA01000013:100972..101562(+)
C4B63_13g344,No,middle,21.6522683234618,0.3833751808565,0,0,conserved hypothetical protein,C4B63_13g344,1,Not Assigned,"PRFA01000013:138,011..139,813(-)",PRFA01000013:138011..139813(-)
C4B63_13g350,No,middle,25.3477167914705,0.472548433463082,0,0,3-ketoacyl-CoA reductase,C4B63_13g350,0,Not Assigned,"PRFA01000013:129,502..130,485(-)",PRFA01000013:129502..130485(-)
C4B63_13g352,No,early,13.8033985868451,1.199548223084,0,0,cytosolic nonspecific dipeptidase,C4B63_13g352,0,Not Assigned,"PRFA01000013:124,794..126,230(-)",PRFA01000013:124794..126230(-)
C4B63_143g25,No,early,13.2440386952258,0.777776533770583,0,0,60S ribosomal protein L19,C4B63_143g25,5,Not Assigned,"PRFA01000143:54,726..55,736(+)",PRFA01000143:54726..55736(+)
C4B63_143g27,No,early,13.2731979745494,0.795464198294826,0,0,60S ribosomal protein L19,C4B63_143g27,5,Not Assigned,"PRFA01000143:56,800..57,789(+)",PRFA01000143:56800..57789(+)
C4B63_145g22,No,late,34.3181506008019,0.911021212592154,0,0,retrotransposon hot spot protein (RHS),C4B63_145g22,704,Not Assigned,"PRFA01000145:41,687..43,429(+)",PRFA01000145:41687..43429(+)
C4B63_147g42,No,early,14.3834472032763,0.578111686317172,0,0,retrotransposon hot spot (RHS) protein,C4B63_147g42,704,Not Assigned,"PRFA01000147:54,700..55,941(-)",PRFA01000147:54700..55941(-)
C4B63_149g19,No,early,15.3666903001773,0.535797363571722,0,0,peroxidoxin,C4B63_149g19,8,Not Assigned,"PRFA01000149:36,453..37,133(+)",PRFA01000149:36453..37133(+)
C4B63_149g23,No,middle,17.6674831374503,0.185742697862657,0,0,conserved hypothetical protein,C4B63_149g23,0,Not Assigned,"PRFA01000149:40,817..42,088(+)",PRFA01000149:40817..42088(+)
C4B63_149g26,No,middle,17.8549606976796,0.382501347290296,0,0,GDP-mannose pyrophosphorylase,C4B63_149g26,0,Not Assigned,"PRFA01000149:43,649..44,800(+)",PRFA01000149:43649..44800(+)
C4B63_14g111,No,middle,22.8982920690425,2.10283069258683,0,0,AdipoR/Haemolysin-III-related,C4B63_14g111,1,Not Assigned,"PRFA01000014:248,838..249,860(+)",PRFA01000014:248838..249860(+)
C4B63_14g147,No,late,30.3220349884006,0.722545425188424,0,0,phosphoribosylpyrophosphate synthetase,C4B63_14g147,1,Not Assigned,"PRFA01000014:325,318..326,490(+)",PRFA01000014:325318..326490(+)
C4B63_14g167,No,late,32.6690725782325,1.73511290571465,0,0,"conserved hypothetical protein,predicted C2 domain protein",C4B63_14g167,0,Not Assigned,"PRFA01000014:377,446..381,003(+)",PRFA01000014:377446..381003(+)
C4B63_14g189,No,early,13.6718964634375,0.614685815888721,0,0,60S ribosomal protein L18,C4B63_14g189,1,Not Assigned,"PRFA01000014:423,001..423,582(+)",PRFA01000014:423001..423582(+)
C4B63_14g20,No,early,9.7936430040407,0.247676333633129,0,0,hexose transporter,C4B63_14g20,12,Not Assigned,"PRFA01000014:53,638..55,272(+)",PRFA01000014:53638..55272(+)
C4B63_14g220c,No,middle,23.6808112913388,0.795024551167779,0,0,kinetoplast DNA-associated protein,C4B63_14g220c,0,Not Assigned,"PRFA01000014:167,268..167,654(+)",PRFA01000014:167268..167654(+)
C4B63_14g241,No,middle,19.3449094239306,0.466540791472663,0,0,trypanothione reductase,C4B63_14g241,1,Not Assigned,"PRFA01000014:549,546..551,024(-)",PRFA01000014:549546..551024(-)
C4B63_14g246,No,late,32.0873104397448,2.06959635115568,0,0,microtubule-associated protein,C4B63_14g246,1,Not Assigned,"PRFA01000014:540,006..546,041(-)",PRFA01000014:540006..546041(-)
C4B63_14g42,No,early,15.8768888396176,0.203052508048371,0,0,Cytoplasmic tRNA 2-thiolation protein 1,C4B63_14g42,0,Not Assigned,"PRFA01000014:97,546..98,535(+)",PRFA01000014:97546..98535(+)
C4B63_14g45,No,middle,23.3601662972072,0.692098824798285,0,0,CCR4-NOT transcription complex subunit 10,C4B63_14g45,1,Not Assigned,"PRFA01000014:101,202..102,401(+)",PRFA01000014:101202..102401(+)
C4B63_14g5,No,early,8.45316434515595,0.431519209471904,0,0,hexose transporter,C4B63_14g5,12,Not Assigned,"PRFA01000014:5,418..7,052(+)",PRFA01000014:5418..7052(+)
C4B63_14g51,No,middle,21.3969353906163,0.351826329557372,0,0,Adenylate kinase 9,C4B63_14g51,0,Not Assigned,"PRFA01000014:111,872..118,039(+)",PRFA01000014:111872..118039(+)
C4B63_14g560c,No,early,11.8820820202085,0.81615606574788,0,0,60S ribosomal protein L22,C4B63_14g560c,1,Not Assigned,"PRFA01000014:405,935..406,327(+)",PRFA01000014:405935..406327(+)
C4B63_14g62,No,middle,22.5541309246085,1.01662204185261,0,0,kinetoplast DNA-associated protein,C4B63_14g62,0,Not Assigned,"PRFA01000014:142,957..143,514(+)",PRFA01000014:142957..143514(+)
C4B63_14g63,No,late,34.4633721494342,1.23722537855816,0,0,Haloacid dehalogenase-like hydrolase,C4B63_14g63,0,Not Assigned,"PRFA01000014:145,351..146,397(+)",PRFA01000014:145351..146397(+)
C4B63_14g68,No,early,12.5227535900303,0.582809701371156,0,0,paraflagellar rod component,C4B63_14g68,0,Not Assigned,"PRFA01000014:157,070..159,217(+)",PRFA01000014:157070..159217(+)
C4B63_14g70,No,middle,24.6643583739469,1.81093260956654,0,0,flagellum targeting protein kharon1,C4B63_14g70,0,Not Assigned,"PRFA01000014:160,195..161,412(+)",PRFA01000014:160195..161412(+)
C4B63_14g71,No,middle,20.6198064527191,0.258690914145065,0,0,conserved hypothetical protein,C4B63_14g71,0,Not Assigned,"PRFA01000014:165,085..165,831(+)",PRFA01000014:165085..165831(+)
C4B63_14g77,No,middle,25.7914001527718,0.413944993794539,0,0,Gcd10p family,C4B63_14g77,0,Not Assigned,"PRFA01000014:177,844..179,253(+)",PRFA01000014:177844..179253(+)
C4B63_14g93,No,late,29.1351043784377,0.507994388534856,0,0,"Cyclin 12, L-type",C4B63_14g93,0,Not Assigned,"PRFA01000014:209,114..210,922(+)",PRFA01000014:209114..210922(+)
C4B63_14g97,No,middle,20.3128839568672,0.485050980391288,0,0,isoleucyl-tRNA synthetase,C4B63_14g97,1,Not Assigned,"PRFA01000014:217,787..218,899(+)",PRFA01000014:217787..218899(+)
